month_start_date,jurisdiction,filings_count,percent_of_historical_average
4/1/2021,Gaston,154,43.14
5/1/2021,Gaston,143,38.34
6/1/2021,Gaston,176,40.98
7/1/2021,Gaston,209,46.51
8/1/2021,Gaston,281,61.89
9/1/2021,Gaston,347,82.42
10/1/2021,Gaston,311,78.14
11/1/2021,Gaston,225,58.78
12/1/2021,Gaston,244,63.94
1/1/2022,Gaston,270,62.72
2/1/2022,Gaston,241,67.22
3/1/2022,Gaston,197,67.93
4/1/2022,Gaston,223,62.46
5/1/2022,Gaston,326,87.4
6/1/2022,Gaston,347,80.79
7/1/2022,Gaston,373,83
8/1/2022,Gaston,357,78.63
9/1/2022,Gaston,380,90.26
10/1/2022,Gaston,351,88.19
11/1/2022,Gaston,383,100.05
12/1/2022,Gaston,338,88.57
1/1/2023,Gaston,397,92.22
2/1/2023,Gaston,373,104.04
3/1/2023,Gaston,345,118.97
4/1/2023,Gaston,343,96.08
5/1/2023,Gaston,441,118.23
6/1/2023,Gaston,475,110.59
1/1/2020,Cabarrus,369,130.62
2/1/2020,Cabarrus,305,115.86
3/1/2020,Cabarrus,163,80.49
4/1/2020,Cabarrus,9,3.91
5/1/2020,Cabarrus,52,20.53
6/1/2020,Cabarrus,61,22.2
7/1/2020,Cabarrus,119,40.84
8/1/2020,Cabarrus,152,56.05
9/1/2020,Cabarrus,172,62.41
10/1/2020,Cabarrus,167,60.07
11/1/2020,Cabarrus,104,42.45
12/1/2020,Cabarrus,129,50.04
1/1/2021,Cabarrus,123,43.54
2/1/2021,Cabarrus,91,34.57
3/1/2021,Cabarrus,137,67.65
4/1/2021,Cabarrus,73,31.7
5/1/2021,Cabarrus,112,44.23
6/1/2021,Cabarrus,160,58.23
7/1/2021,Cabarrus,145,49.76
8/1/2021,Cabarrus,176,64.9
9/1/2021,Cabarrus,217,78.74
10/1/2021,Cabarrus,189,67.99
11/1/2021,Cabarrus,189,77.14
12/1/2021,Cabarrus,189,73.31
1/1/2022,Cabarrus,209,73.98
2/1/2022,Cabarrus,254,96.49
3/1/2022,Cabarrus,255,125.93
4/1/2022,Cabarrus,220,95.55
5/1/2022,Cabarrus,280,110.56
6/1/2022,Cabarrus,336,122.29
7/1/2022,Cabarrus,326,111.87
8/1/2022,Cabarrus,373,137.54
9/1/2022,Cabarrus,386,140.06
10/1/2022,Cabarrus,349,125.54
11/1/2022,Cabarrus,338,137.96
12/1/2022,Cabarrus,341,132.27
1/1/2023,Cabarrus,312,110.44
2/1/2023,Cabarrus,366,139.03
3/1/2023,Cabarrus,307,151.6
4/1/2023,Cabarrus,266,115.53
5/1/2023,Cabarrus,375,148.08
6/1/2023,Cabarrus,427,155.41
1/1/2020,Nash,481,98.26
2/1/2020,Nash,444,107.83
3/1/2020,Nash,98,31.95
4/1/2020,Nash,0,0
5/1/2020,Nash,0,0
6/1/2020,Nash,42,9.89
7/1/2020,Nash,269,59.83
8/1/2020,Nash,297,68.69
9/1/2020,Nash,265,58.65
